日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門(含包燈)(度),服務業部門(含包燈)用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),工業部門售電量(度),工業部門用電佔比(%),合計售電量(度),縣市用電佔比(%)
2017年01月,合計,3193304840,0.202,3769716064,0.2384,214791220,0.0136,8634112032,0.5461,15811924156,1
2016年12月,新北市,605488032,0.3851,526410793,0.3348,1712588,0.0011,438608008,0.279,1572219421,0.0923
2016年12月,台北市,396001560,0.3276,775888082,0.6418,1538297,0.0013,35416065,0.0293,1208844004,0.071
2016年12月,桃園市,353257005,0.153,370708805,0.1605,2440203,0.0011,1582977628,0.6855,2309383641,0.1356
2016年12月,台中市,438654022,0.194,537391154,0.2377,12872125,0.0057,1271640327,0.5625,2260557628,0.1327
2016年12月,台南市,292814690,0.1324,288490150,0.1305,30321186,0.0137,1599456638,0.7234,2211082664,0.1298
2016年12月,高雄市,386682183,0.1686,487924715,0.2127,19339225,0.0084,1400151081,0.6103,2294097204,0.1347
2016年12月,宜蘭縣,64479348,0.2351,64209259,0.2341,4646948,0.0169,140946121,0.5139,274281676,0.0161
2016年12月,新竹縣,89745695,0.1152,85733116,0.11,1495271,0.0019,602300982,0.7729,779275064,0.0458
2016年12月,苗栗縣,67307584,0.1177,67298057,0.1177,1879688,0.0033,435294496,0.7613,571779825,0.0336
2016年12月,彰化縣,177996589,0.199,190000939,0.2124,34547739,0.0386,492096489,0.55,894641756,0.0525
2016年12月,南投縣,74967516,0.3056,63229630,0.2577,8966855,0.0365,98174892,0.4002,245338893,0.0144
2016年12月,雲林縣,95130084,0.2104,77527943,0.1714,28521778,0.0631,251018314,0.5551,452198119,0.0265
2016年12月,嘉義縣,63254684,0.2952,55420141,0.2586,18347700,0.0856,77266059,0.3606,214288584,0.0126
2016年12月,屏東縣,118628151,0.3193,98935702,0.2663,58288730,0.1569,95643738,0.2575,371496321,0.0218
2016年12月,台東縣,31473234,0.4135,32767111,0.4304,2234984,0.0294,9648041,0.1267,76123370,0.0045
2016年12月,花蓮縣,50038745,0.2344,62024881,0.2906,2665846,0.0125,98724178,0.4625,213453650,0.0125
2016年12月,基隆市,56348481,0.4758,44638757,0.3769,9114,0.0001,17425379,0.1471,118421731,0.007
2016年12月,新竹市,67757515,0.0833,102974311,0.1267,663260,0.0008,641627536,0.7892,813022622,0.0477
2016年12月,嘉義市,40432689,0.4244,47061641,0.494,491849,0.0052,7283515,0.0765,95269694,0.0056
2016年12月,澎湖縣,12633133,0.4186,13701945,0.454,416254,0.0138,3427030,0.1136,30178362,0.0018
2016年12月,金門縣,7737521,0.3721,10711196,0.5152,215339,0.0104,2127600,0.1023,20791656,0.0012
2016年12月,連江縣,1795011,0.3393,3042143,0.5751,18660,0.0035,433993,0.082,5289807,0.0003
2016年12月,合計,3492623472,0.2051,4006090471,0.2352,231633639,0.0136,9301688110,0.5461,17032035692,1
2016年11月,新北市,728432829,0.4069,618012888,0.3452,1764502,0.001,441975345,0.2469,1790185564,0.0991
2016年11月,台北市,489471387,0.3512,866003273,0.6214,1543714,0.0011,36659820,0.0263,1393678194,0.0771
2016年11月,桃園市,337424261,0.1469,396813482,0.1727,2625664,0.0011,1560417561,0.6792,2297280968,0.1272
2016年11月,台中市,515345635,0.2162,600070994,0.2518,13986748,0.0059,1253802245,0.5261,2383205622,0.1319
2016年11月,台南市,333308812,0.1478,306837130,0.1361,34084357,0.0151,1580857116,0.701,2255087415,0.1248
2016年11月,高雄市,565826980,0.2207,523491241,0.2042,19478952,0.0076,1454500445,0.5674,2563297618,0.1419
2016年11月,宜蘭縣,72409043,0.2505,73807203,0.2553,5233106,0.0181,137640231,0.4761,289089583,0.016
2016年11月,新竹縣,92533535,0.1189,86026874,0.1105,1613705,0.0021,598289927,0.7686,778464041,0.0431
2016年11月,苗栗縣,93173347,0.1585,76602033,0.1303,2260275,0.0038,415898087,0.7074,587933742,0.0325
2016年11月,彰化縣,201855104,0.2185,193076102,0.209,39383621,0.0426,489592753,0.5299,923907580,0.0511
2016年11月,南投縣,65943791,0.2825,63559538,0.2723,10071959,0.0432,93830540,0.402,233405828,0.0129
2016年11月,雲林縣,112084485,0.234,86258773,0.1801,31371248,0.0655,249232210,0.5204,478946716,0.0265
2016年11月,嘉義縣,79597811,0.3189,60390614,0.2419,20905035,0.0837,88742770,0.3555,249636230,0.0138
2016年11月,屏東縣,143949099,0.3572,106663012,0.2647,57646781,0.143,94759256,0.2351,403018148,0.0223
2016年11月,台東縣,31626153,0.3977,35176753,0.4423,2341046,0.0294,10382629,0.1306,79526581,0.0044
2016年11月,花蓮縣,51366264,0.2451,68146366,0.3251,2601208,0.0124,87498195,0.4174,209612033,0.0116
2016年11月,基隆市,55427818,0.4546,48368285,0.3967,8673,0.0001,18122118,0.1486,121926894,0.0067
2016年11月,新竹市,90710140,0.107,113928174,0.1344,751191,0.0009,642397425,0.7577,847786930,0.0469
2016年11月,嘉義市,47070455,0.4327,53930355,0.4958,565330,0.0052,7210778,0.0663,108776918,0.006
2016年11月,澎湖縣,16342527,0.4268,17946897,0.4687,460299,0.012,3540360,0.0925,38290083,0.0021
2016年11月,金門縣,10376470,0.3873,13437097,0.5016,239600,0.0089,2736422,0.1021,26789589,0.0015
2016年11月,連江縣,2695805,0.4134,3408155,0.5226,20212,0.0031,397437,0.0609,6521609,0.0004
2016年11月,合計,4136971751,0.229,4411955239,0.2442,248957226,0.0138,9268483670,0.513,18066367886,1
2016年10月,新北市,832253340,0.4339,621215125,0.3239,1882545,0.001,462775888,0.2413,1918126898,0.101
2016年10月,台北市,553509727,0.3653,920853705,0.6078,1777000,0.0012,38898448,0.0257,1515038880,0.0798
2016年10月,桃園市,466740294,0.1844,430434401,0.1701,2728279,0.0011,1631081628,0.6444,2530984602,0.1333
2016年10月,台中市,554862401,0.2242,605071620,0.2445,15169340,0.0061,1299219437,0.5251,2474322798,0.1303
2016年10月,台南市,366679345,0.1546,323833496,0.1366,36323050,0.0153,1644554724,0.6935,2371390615,0.1249
2016年10月,高雄市,466968488,0.1876,539509119,0.2167,19475309,0.0078,1463623952,0.5879,2489576868,0.1311
2016年10月,宜蘭縣,84924814,0.2811,73712116,0.244,6257893,0.0207,137183336,0.4541,302078159,0.0159
2016年10月,新竹縣,119782977,0.1396,98402589,0.1147,1876738,0.0022,638181584,0.7436,858243888,0.0452
2016年10月,苗栗縣,89731184,0.1475,76739923,0.1261,2314821,0.0038,439557090,0.7225,608343018,0.032
2016年10月,彰化縣,227148374,0.2348,202742706,0.2095,40558262,0.0419,497165344,0.5138,967614686,0.051
2016年10月,南投縣,87483688,0.331,68818638,0.2604,10029979,0.0379,97963415,0.3707,264295720,0.0139
2016年10月,雲林縣,117058401,0.2363,83864888,0.1693,32717448,0.066,261714153,0.5283,495354890,0.0261
2016年10月,嘉義縣,77220220,0.3096,60653758,0.2432,21452448,0.086,90060236,0.3611,249386662,0.0131
2016年10月,屏東縣,135450293,0.3476,104970335,0.2694,54361324,0.1395,94884482,0.2435,389666434,0.0205
2016年10月,台東縣,37863809,0.4281,37864005,0.4281,2366263,0.0268,10353776,0.1171,88447853,0.0047
2016年10月,花蓮縣,64231992,0.2833,70567571,0.3113,2652360,0.0117,89254695,0.3937,226706618,0.0119
2016年10月,基隆市,76200851,0.5163,52660043,0.3568,8517,0.0001,18726318,0.1269,147595729,0.0078
2016年10月,新竹市,94317449,0.1039,122216412,0.1347,802464,0.0009,690245501,0.7605,907581826,0.0478
2016年10月,嘉義市,50512832,0.4467,54705810,0.4838,543987,0.0048,7317098,0.0647,113079727,0.006
2016年10月,澎湖縣,15839890,0.432,16674876,0.4547,482974,0.0132,3670965,0.1001,36668705,0.0019
2016年10月,金門縣,10640944,0.3888,13398930,0.4896,241909,0.0088,3086359,0.1128,27368142,0.0014
2016年10月,連江縣,2388393,0.3609,3734697,0.5644,21052,0.0032,473406,0.0715,6617548,0.0003
2016年10月,合計,4531809706,0.2387,4582644763,0.2413,254043962,0.0134,9619991835,0.5066,18988490266,1
2016年09月,新北市,983799605,0.4579,703811242,0.3276,2092578,0.001,458916791,0.2136,2148620216,0.1105
2016年09月,台北市,658430220,0.3907,986378002,0.5853,1809277,0.0011,38740916,0.023,1685358415,0.0866
2016年09月,桃園市,451638132,0.1815,446596536,0.1795,3071992,0.0012,1586461822,0.6377,2487768482,0.1279
2016年09月,台中市,633384351,0.2517,654515757,0.2601,15204959,0.006,1213066814,0.4821,2516171881,0.1293
